0;MQ2;MQ7;MQ135;PH;TUR;TEMP;HUM;;
01:01,3;3182,63;976,26;334,07;5,61;0;23,4;30;;
01:03,8;3185,44;979,99;332,45;5,58;0;23,4;30;;
01:06,3;3182,18;977,72;332,12;5,47;0;23,4;30;;
01:08,7;3182,27;978,93;331,16;5,11;0;23,4;30;;
01:11,2;3182,36;979,62;331,52;5,78;0;23,5;30;;
01:13,6;3184,8;978,89;331,06;5,92;0;23,5;30;;
01:16,1;3190,01;978,24;332,93;6,84;0;23,5;30;;
01:18,6;3177,5;974,74;330,19;6,65;0;23,5;30;;
01:21,0;3183,17;976,12;330,7;6,56;2;23,5;30;;
01:23,5;3182,9;976,1;330,09;6,76;3;23,5;30;;
01:26,0;3177,32;974,96;330,15;6,76;5;23,5;30;;
01:28,4;3175,16;972,84;332,04;6,67;3;23,5;30;;
01:30,9;3173,52;970,78;330;6,54;5;23,5;29;;
01:33,4;3167,79;969,46;329,03;6,51;5;23,5;29;;
01:35,8;3171,08;966,84;326,72;6,09;5;23,5;29;;
6:01:38,28;3164,2;966,76;326,09;6,12;6;23,5;29;;
6:01:40,75;3171,47;966,64;326,96;6,26;3;23,5;29;;
6:01:43,21;3167,79;966,1;326,06;5,89;5;23,6;29;;
6:01:45,67;3177,32;966,06;326,06;5,95;3;23,6;29;;
6:01:48,14;3182,63;964,08;325,12;5,98;3;23,6;29;;
6:01:50,60;3182,27;962,08;325,07;6,03;3;23,6;29;;
6:01:53,07;3180,74;962,14;324,11;5,84;3;23,6;29;;
6:01:55,53;3173,72;962,06;326,18;5,7;0;23,6;29;;
6:01:57,99;3163,7;960;323,26;5,42;2;23,6;29;;
6:02:00,46;3163,7;958,12;323,38;5,23;0;23,6;29;;
6:02:02,92;3165,49;958,08;324,03;5,95;0;23,6;29;;
6:02:05,38;3163,3;957,84;326,12;5,45;0;23,6;29;;
6:02:07,85;3163,5;958;325,03;5,5;0;23,6;29;;
6:02:10,31;3165,68;956,12;324,06;5,78;0;23,6;29;;
6:02:12,78;3159,98;955,42;326,12;6,67;2;23,6;29;;
6:02:15,24;3160,15;952,06;321,21;6,79;0;23,7;29;;
6:02:17,70;3161,12;952;321,13;6,23;3;23,7;29;;
6:02:20,17;3162,74;952,02;321,03;5,92;0;23,7;29;;
6:02:22,63;3161,65;951,62;320,43;5,25;2;23,7;29;;
6:02:25,09;3161,58;949,01;321,17;5,5;3;23,7;29;;
6:02:27,56;3156,61;950,14;321,55;5,95;6;23,7;29;;
6:02:30,02;3163,41;951,66;320,88;5,95;6;23,7;29;;
6:02:32,49;3163,6;951,04;320,36;6,06;6;23,7;29;;
6:02:34,95;3163,9;949,08;321,13;6,09;8;23,7;29;;
6:02:37,42;3?64.10;949.90321.18;1,11;6,11;23,7;29.00?;;;
6:02:39,88;3163,8;950,24;321,13;8;9;23,7;29;;
6:02:42,34;3183,63;949,83;321,1;6,09;6;23,7;29;;
6:02:44,81;3187,94;947,04;320,72;6,14;2;23,7;35;;
6:02:47,27;3220,45;945,04;319,99;6,09;0;23,8;44;;
6:02:49,73;3156,27;941,12;318,63;6,11;0;23,9;50;;
6:02:52,20;3167,65;939,18;315,91;6,03;0;24;53;;
6:02:54,66;3151,7;943,08;314,21;5,5;0;24,1;56;;
6:02:57,12;3131,68;943,2;314,01;5,5;5;24,3;58;;
6:02:59,59;3125,7;943,82;314,11;6,14;3;24,3;59;;
6:03:02,05;3125,7;945,7;313,02;6,11;3;24,5;60;;
6:03:04,51;3116,99;947,08;312,13;6,11;8;24,6;60;;
6:03:06,98;3112,09;947,18;312,42;6,11;6;24,7;58;;
6:03:09,44;3114,86;946,58;312,96;6,14;6;24,8;55;;
6:03:11,91;3106,5;945,14;313,16;6,11;11;24,9;51;;
6:03:14,38;3106,51;945,2;315,3;6,11;12;24,9;47;;
6:03:16,85;3102,94;945,1;314,13;6,09;12;25;43;;
6:03:19,32;3097,99;944,94;312,06;6,06;12;25,1;40;;
6:03:21,78;3093,89;942,02;310,94;6,09;11;25,1;38;;
6:03:24,25;3088,5;941,92;310,36;6,03;12;25,1;36;;
6:03:26,72;3088;943,26;310,05;6,11;11;25,1;34;;
6:03:29,19;3087,1;944,68;313,16;6,11;6;25,1;33;;
6:03:31,65;3085,75;943,64;312,89;5,5;5;25,2;32;;
6:03:34,11;3081,89;943,12;309,05;6,03;6;25,2;32;;
6:03:36,58;3077;940,84;307,81;6,11;8;25,2;31;;
6:03:39,04;3074,29;941,16;305,96;6,03;9;25,2;31;;
6:03:41,51;3068,5;941,1;306,08;6,11;12;25,2;30;;
6:03:43,97;3066,65;945,06;305,05;6,11;9;25,2;30;;
6:03:46,44;3064,23;946,78;305,25;6,11;21;25,2;30;;
6:03:48,91;3060,08;947,12;305,53;6,28;19;25,2;30;;
6:03:51,37;3058,45;946,8;305,67;6,31;0;25,2;29;;
6:03:53,84;3050,19;945,2;306,22;6,2;0;25,2;29;;
6:03:56,30;3049,1;947,14;304,85;6,2;9;25,1;29;;
6:03:58,76;3048,95;947,08;306,2;6,17;9;25,1;29;;
6:04:01,23;3047,65;945,2;309,97;6,2;9;25,1;29;;
6:04:03,70;3040,12;945,5;307,08;6,17;13;25,1;29;;
6:04:06,17;3031,9;945,12;307,51;6,31;11;25,1;29;;
6:04:08,64;3030,89;945,24;306,07;6,28;11;25,1;28;;
6:04:11,10;3030,5;946,2;305,67;6,28;9;25,1;28;;
6:04:13,56;3029,77;945,18;307,96;6,28;6;25,1;28;;
6:04:16,03;3029,48;944,68;304,07;6,28;6;25,1;28;;
6:04:18,49;3023,16;945,16;306,77;6,25;5;25,1;28;;
6:04:20,95;3022,26;945,1;301,07;6,25;3;25,1;28;;
6:04:23,42;3021,81;945,5;300,02;6,23;2;25,1;28;;
6:04:25,88;3021,03;947,06;298,01;6,23;3;25,1;28;;
6:04:28,34;3011,7;945,18;303;6,28;0;25,1;28;;
6:04:30,81;3012,3;945,02;304,22;6,17;16;25,1;28;;
6:04:33,28;3010,86;945,1;305,07;6,59;18;25,1;28;;
6:04:35,75;3004,09;943,56;305,05;6,59;18;25,1;28;;
6:04:38,22;3002,16;945,02;304,1;6,56;18;25,1;28;;
6:04:40,69;2993,1;945,4;303,03;6,59;18;25,1;28;;
6:04:43,15;2988,85;945,26;303,09;6,59;18;25,1;28;;
