0;MQ2;MQ7;MQ135;PH;TUR;TEMP;HUM
11:22,7;2842,63;937,24;277,29;4,11;9;25,8;25
11:25,2;2841,33;938,82;275,28;4,14;11;25,8;25
11:27,7;2841,54;937,2;275,02;4,17;11;25,8;25
11:30,1;2881,35;935,12;275,96;4,14;9;25,8;25
11:32,6;2909;935,68;278,04;4,11;8;25,7;32
11:35,1;2925,37;933,72;276,66;3,03;6;25,8;42
11:37,5;2910,69;933,18;276,38;3,03;8;25,9;49
11:40,0;2919,97;931,12;275,97;3,03;6;26;53
11:42,5;2934,77;933,04;276,05;4;2;26,1;55
11:44,9;2920,51;933,14;276,03;5,92;0;26,2;57
11:47,4;2916,55;931,08;275,07;4;0;26,4;58
11:49,9;2895,77;929,16;274,93;3,03;0;26,5;59
11:52,3;2898,61;929,22;275,02;0,95;0;26,6;60
11:54,8;2868,76;927,02;274,67;0,97;0;26,7;60
11:57,2;2859,94;925,3;275,02;0,97;0;26,8;60
6:11:59,71;2861,98;925,1;274,73;0,95;0;27;60
6:12:02,17;2860,27;930,92;274,89;0,97;0;27,1;60
6:12:04,63;2847,85;933,44;275,82;4;0;27,2;60
6:12:07,10;2850,5;933,12;275,15;4,97;2;27,3;56
6:12:09,56;2850,6;933,04;275,84;4,97;3;27,3;51
6:12:12,02;2850,12;929,66;275,06;4,97;2;27,4;46
6:12:14,49;2845,23;930,96;274,85;4,97;0;27,4;41
6:12:16,95;2841,9;931,1;274,96;5,97;0;27,4;37
6:12:19,41;2840,48;932,48;274,05;5,97;0;27,5;34
6:12:21,88;2832,2;931,88;273,88;5,97;0;27,5;32
6:12:24,34;2830,41;932,82;273,9;5,97;0;27,5;31
6:12:26,80;2823,62;931,08;274,05;4,95;0;27,5;29
6:12:29,27;2821,4;927,2;274,07;4,95;0;27,4;28
6:12:31,73;2816,99;929,06;274,11;4,95;0;27,4;27
6:12:34,19;2814,7;927,14;274,04;5,97;0;27,4;27
6:12:36,66;2X12N64;929,08;273,43;4,95;0;27,4;26
6:12:39,12;2810,58;929,32;273,03;4,95;2;27,4;26
6:12:41,59;2810,39;929,02;273,09;4;0;27,4;26
6:12:44,05;2804,62;929,08;272,83;3,97;2;27,3;26
6:12:46,51;2803,99;929,08;272,95;3,95;2;27,3;25
6:12:48,98;2794,1;927,92;272,62;3,95;0;27,3;25
6:12:51,44;2801,55;931,1;272,46;3,97;0;27,2;25
6:12:53,90;2794,1;928,34;272,03;3,97;0;27,2;25
6:12:56,37;2792,68;926,9;271,99;3,97;0;27,2;25
6:12:58,83;2791,7;924,78;272,12;3,97;6;27,2;25
6:13:01,29;2792,56;926,98;272,07;4;5;27,1;25
6:13:03,76;2792,83;925,22;272,04;4;3;27,1;24
6:13:06,22;2787,15;925,38;272,02;3,97;8;27,1;24
6:13:08,68;2785,8;923,18;272,07;4;8;27,1;24
6:13:11,15;2784,99;923,1;271,94;4;9;27;24
6:13:13,62;2785,44;922,02;272,02;4,28;22;27;24
6:13:16,09;2784,9;923,2;271,87;4,31;21;27;24
6:13:18,55;2785,08;924,76;271,94;4,34;21;26,9;24
6:13:21,02;2784,25;925,24;271,14;4,31;21;26,9;24
6:13:23,49;2783,31;925,3;271,07;4,31;19;26,9;24
6:13:25,96;2778,98;925,08;271,07;4,31;21;26,8;24
6:13:28,43;2775,6;923,02;271,07;4,34;19;26,8;24
6:13:30,90;2774,6;923,24;271,1;4,31;19;26,8;24
6:13:33,37;2777,09;921,08;271;4,36;18;26,8;24
6:13:38,30;2776,1;921,06;268,76;4,34;19;26,8;24.00:2775.80
6:13:40,77;2773,65;918,16;267,03;4,31;16;26,7;24
6:13:43,24;2773,03;915,9;267,04;4,34;15;26,7;24
6:13:45,71;2772,47;915,62;267,97;4,34;13;26,7;24
6:13:48,18;2773,29;914,24;268,47;4,34;15;26,7;24
6:13:50,64;2774,54;914,6;269,06;4,31;15;26,7;24
6:13:53,11;2768,42;915,04;269,01;4,34;15;26,6;24
6:13:55,58;2765,45;912,96;268,08;4,34;15;26,6;24
6:13:58,05;2764,64;912,24;268,07;4,31;15;26,6;24
6:14:00,52;2754,22;910,8;269,09;4,34;13;26,6;24
6:14:02,99;2763,86;910,04;270,06;4,31;13;26,6;24
6:14:05,45;2756,5;912,18;271,11;4,31;15;26,6;24
6:14:07,92;2756,3;914,02;272,06;4,28;15;26,6;24
6:14:10,39;2755,6;912,26;272,98;4,31;13;26,5;24
6:14:12,85;2796,09;913,94;233,04;4,31;6;26.5?;24
6:14:15,32;2758,6;912,04;273,07;4,28;5;26,5;23
6:14:17,78;2763,97;911,64;273,04;4,31;5;26,5;24
6:14:20,24;2765,15;910,74;272,88;4,31;8;26,4;24
6:14:22,71;2766;910,06;271,95;4,31;13;26,4;24
6:14:25,18;2765,8;908,12;272,02;4,31;15;26,4;24
6:14:27,65;2755,8;906,26;272,15;4,28;15;26,4;24
6:14:30,12;2763,83;907,1;272,92;4,28;15;26,4;24
6:14:32,59;2764,34;908,12;273,04;4,28;13;26,4;24
6:14:35,06;2764,83;908,16;273,13;4,25;13;26,4;24
6:14:37,53;2765,51;906,2;273,99;4,25;13;26,4;24
6:14:39,99;2761,98;907,24;274,12;4,25;12;26,4;24
6:14:42,46;2761,28;906,5;274,02;4,25;12;26,4;24
6:14:44,93;2754,75;907,88;274;4,23;12;26,3;24
6:14:47,40;2750,14;906,54;273,93;4,23;11;26,3;24
