TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
18:18:57,97;3577,36;1179,9;567,74;4,15;;;;;;
18:19:00,38;3599,82;1182,7;570,47;4,15;;;;;;
18:19:02,81;3590,75;1183,42;572,26;4,18;;;;;;
18:19:05,24;3583,57;1186,52;574,18;4,18;;;;;;
18:19:07,65;3596,41;1190,02;578,73;4,6;;;;;;
18:19:10,08;3614,61;1189,28;580,18;4,57;;;;;;
18:19:12,49;3639,28;1185,66;580,08;4,62;;;;;;
18:19:14,92;3631,21;1184,88;581,22;4,71;;;;;;
18:19:17,34;3630,12;1186,64;580,1;4,74;;;;;;
18:19:19,76;3641;1186,16;580;4,68;;;;;;
18:19:22,18;3660,1;1183,54;578,02;4,71;;;;;;
18:19:24,60;3674,93;1182,46;577,1;4,71;;;;;;
18:19:27,03;3690,79;1183,28;579,32;4,74;;;;;;
18:19:29,44;3701,2;1179,04;581,19;4,76;;;;;;
18:19:31,86;3727,18;1178,08;581,2;4,82;;;;;;
18:19:34,29;3695,69;1173,46;578,01;4,82;;;;;;
18:19:36,70;3700,45;1175,44;580,14;4,82;;;;;;
18:19:39,12;3702,6;1173,2;579,7;4,85;;;;;;
18:19:41,55;3698,39;1170,34;579,29;4,88;;;;;;
18:19:43,97;3712,22;1173,32;579,77;4,93;;;;;;
18:19:46,38;3706,63;1167,96;576,84;4,9;;;;;;
18:19:48,81;3699,79;1165,58;575,83;4,96;;;;;;
18:19:51,23;3678,14;1161,66;574,08;4,99;;;;;;
18:19:53,66;3670,09;1160,78;573,33;4,99;;;;;;
18:19:56,07;3673,26;1160,96;573,11;4,99;;;;;;
18:19:58,49;3664,18;1160,18;572,35;5,01;;;;;;
18:20:00,92;3659,76;1161,98;572,23;4,99;;;;;;
18:20:03,33;3637,33;1165,44;573,34;5,04;;;;;;
18:20:05,76;3640,44;1160,27;570,22;5,07;;;;;;
18:20:08,18;3624,61;1157,64;569,04;5,1;;;;;;
18:20:10,59;3617,14;1155,18;568,16;5,1;;;;;;
18:20:13,01;3615,87;1156,02;568,39;5,13;;;;;;
18:20:15,44;3612,25;1152,9;567,24;5,15;;;;;;
18:20:17,87;3593,15;1149,2;566,84;5,18;;;;;;
18:20:20,28;3596,91;1152,12;568,31;5,18;;;;;;
18:20:22,70;3570,75;1148,54;565,53;5,21;;;;;;
18:20:25,13;3552,26;1152,26;567,15;5,18;;;;;;
18:20:27,54;3556,32;1145,36;564,1;5,18;;;;;;
18:20:29,97;3578,64;1144,88;565,27;5,24;;;;;;
18:20:32,39;3562,93;1141,7;563,31;5,29;;;;;;
18:20:34,81;3537,2;1138,04;560,71;5,29;;;;;;
18:20:37,24;3508,41;1137,14;559,32;5,29;;;;;;
18:20:39,64;3485,95;1133,5;557,8;5,32;;;;;;
18:20:42,07;3473,17;1134,14;558,14;5,32;;;;;;
18:20:44,48;3476,06;1136,2;557,39;5,32;;;;;;
18:20:46,91;3459,87;1132,74;556,63;5,32;;;;;;
18:20:49,34;3454,25;1130,78;556,33;5,32;;;;;;
18:20:51,75;3453,17;1129,38;554,89;5,32;;;;;;
18:20:54,17;3443,33;1128,12;553,66;5,32;;;;;;
18:20:56,60;3445,36;1128,81;553,45;5,35;;;;;;
18:20:59,02;3450,7;1126,28;552,33;5,24;;;;;;
18:21:01,43;3445,73;1122,58;552,19;5,24;;;;;;
18:21:03,86;3435,84;1118,94;550,54;5,27;;;;;;
18:21:06,28;3429,9;1117,82;550;5,27;;;;;;
18:21:08,70;3426,99;1117,28;551,17;5,24;;;;;;
18:21:11,12;3417,97;1115,28;550,18;5,24;;;;;;
18:21:13,54;3429,83;1116,02;550,44;5,21;;;;;;
18:21:15,97;3434,22;1115,56;551,42;5,18;;;;;;
18:21:18,38;3441,02;1114,48;552,27;5,18;;;;;;
18:21:20,80;3440,51;1117,66;554,24;5,15;;;;;;
18:21:23,23;3419,81;1117,5;552,95;5,13;;;;;;
18:21:25,64;3403,13;1117,18;552,31;5,13;;;;;;
18:21:28,06;3401,36;1114,68;553,31;5,04;;;;;;
18:21:30,49;3395,27;1111,64;553,16;5,07;;;;;;
18:21:32,90;3372,78;1107,88;551,3;5,24;;;;;;
18:21:35,33;3345,27;1103,82;549,38;5,29;;;;;;
18:21:37,75;3340,2;1100,79;547,07;5,32;;;;;;
18:21:40,18;3360,35;1100,1;545,51;5,32;;;;;;
18:21:42,59;3366,74;1101,98;543,78;5,35;;;;;;
18:21:45,02;3330,17;1098,99;543,31;5,35;;;;;;
18:21:47,44;3349,43;1096,88;542,8;5,35;;;;;;
18:21:49,85;3341,27;1096,78;543,16;5,35;;;;;;
18:21:52,27;3343,8;1097,56;542,37;5,35;;;;;;
18:21:54,70;3334,52;1095;542,51;5,38;;;;;;
18:21:57,11;3330,07;1090,74;541,51;5,38;;;;;;
18:21:59,54;3305,01;1090,6;540,31;5,4;;;;;;
18:22:01,96;3323,29;1086,64;539,29;5,35;;;;;;
18:22:04,37;3318,83;1085,44;537,47;5,35;;;;;;
18:22:06,80;3312,05;1084,6;537,21;5,32;;;;;;
18:22:09,21;3384,19;1100,23;543,55;5,15;;;;;;
18:22:11,64;3899,64;1164,31;566,83;3,34;;;;;;
18:22:14,06;3731;1108,68;570,34;4,4;;;;;;
18:22:16,48;3756,35;1090,16;568,74;3,62;;;;;;
