TIME;CH1;CH2;CH3;CH4
18:28:31,94;3344,39;828,78;442,14;2,93
18:28:41,60;";?93.>5";946,72;509,15;3,68
18:28:44,02;:?9<.29;966.66J3Q8.46;3,59;
18:28:46,44;554,33;979,72;521,06;3,62
18:28:51,28;3765,98;1015,73;544,95;2,98
18:28:53,70;3578,16;1026,86;545,64;3,15
18:28:56,12;3819,42;1010;535,24;3,26
18:28:58,54;3393,96;1005,72;532,21;3,68
18:29:00,97;3455,36;1032,12;543,35;3,51
18:29:03,38;3419,19;1020,28;537,58;3,48
18:29:05,81;3351,73;1013,96;534,33;3,65
18:29:08,22;3322,05;1013,94;533,25;3,76
18:29:10,65;3304,46;1016,78;535,45;3,76
18:29:13,06;3299,39;1018,68;535,76;3,79
18:29:15,48;3274,32;1019,1;535,47;3,76
18:29:17,91;3284,17;1020,32;534,37;3,76
18:29:20,34;3326,17;1020,6;534,35;3,82
18:29:25,17;3403,17;1034,4;543,06;3,79
18:29:27,58;5414,87;1035,14;544,34;?.79
18:29:30,01;3438,6;1036,52;543,62;3,79
18:29:32,44;3396,9;1036,88;540,32;3,73
18:29:34,85;3343,18;1036,46;539,96;3,82
18:29:37,28;3432,23;1036,68;541,23;3,79
18:29:39,69;3441,51;1036,7;542,26;3,82
18:29:42,12;3356,6;1037,04;543,16;3,82
18:29:44,53;3355,24;1036,72;542,63;3,79
18:29:46,96;3345,31;1036,46;542,07;3,79
18:29:49,38;3382,59;1035,48;543,31;3,82
18:29:51,79;3421,29;1034,56;543,2;3,82
18:29:54,22;3416,58;1034,24;542,95;3,79
18:29:56,65;3432,6;1032,42;542,43;3,82
18:29:59,06;3515,44;1031,52;542,46;3,82
18:30:01,48;3427,25;1031,04;542,55;3,84
18:30:03,91;3393,25;1030,8;542,56;3,82
18:30:06,32;3371,62;1029,68;541,49;3,79
18:30:08,75;3355,16;1028,88;541,16;3,84
18:30:11,16;3349,41;1028,64;540,57;3,84
18:30:13,59;3346,18;1026,86;540,3;3,82
18:30:16,01;3333,78;1026,62;540,32;3,84
18:30:18,42;3256,26;1026,46;540,33;3,82
18:30:20,85;3269,22;1026,44;540,27;3,82
18:30:23,28;3276,21;1026,68;540,34;3,82
18:30:32,96;3264,35;104.7)36.74;3,76;
18:30:35,38;3244,25;1041,15;535,38;3,82
18:30:37,80;3277,97;1040,24;534,3;3,82
18:30:40,21;3246,36;1037;533,47;3,82
18:30:42,64;3234,27;1034,04;532,4;3,82
18:30:45,05;3278,64;1030,52;534,25;3,82
18:30:47,48;3241,82;1031,04;531,4;3,84
18:30:49,90;3296,11;1031,06;529,29;3,82
18:30:52,33;3269,82;1031,16;528,29;3,84
18:30:54,74;3251,52;1031,52;528,06;3,84
18:30:57,17;3235,62;1030,92;526,88;3,84
18:30:59,59;3241,85;1028,94;525,44;3,82
18:31:02,00;3241,87;1030,96;525,38;3,84
18:31:04,43;3270,41;1032,26;524,37;3,84
18:31:06,84;3257,43;1033,26;523,32;3,84
18:31:09,27;3299,02;1037,62;524,57;3,79
18:31:11,69;3287,56;1030,72;522,25;3,76
18:31:14,11;3353,45;1024,6;521,95;4,01
18:31:18,96;3323,73;1023,22;520,8;4,04
18:31:21,37;3342,33;1019,42;520,2;4,01
18:31:23,80;3323,95;1018,26;519,65;4,01
18:31:26,22;3328;1018,56;518,95;4,04
18:31:28,63;3327,58;1018,46;517,14;4,07
18:31:31,06;3328;1018,48;516,43;4,07
18:31:33,48;3334,42;1019,64;514,32;4,04
18:31:35,89;3320,29;1017,56;515,16;4,1
18:31:38,32;3309,6;1020,38;514,03;4,07
18:31:40,75;3291,34;1024,52;518,08;4,07
18:31:43,16;3310,77;1026,5;520,09;4,07
18:31:45,58;3301,68;1027,88;516,26;4,07
18:31:48,01;3290,26;1024,74;514,61;4,1
18:31:50,43;3271,56;1024,82;513,59;4,1
18:31:52,86;3281,95;1022,52;512,68;4,12
18:31:55,27;3248,14;1018,8;510,61;4,12
18:31:57,69;3279,21;1014,82;505,63;4,12
18:32:00,12;3278,72;1012,42;508,36;4,15
18:32:02,53;3280,53;1012,4;506,51;4,12
18:32:04,96;3273,7;1010,78;508,03;4,15
18:32:07,39;3283,58;1012,75;510,12;4,15
18:32:09,79;3258,92;1010,52;511,39;4,15
18:32:12,22;3251,69;1010,85;516,07;4,12
18:32:14,64;3266,96;1014,42;509,73;4,1
18:32:17,07;3260,07;1007,06;502,07;4,15
18:32:19,49;3278,18;1007,35;497,98;4,15
18:32:21,90;3123,04;1006,61;498,42;4,1
18:32:24,33;3146,5;1010,62;496,59;4,12
18:32:26,75;3167,49;1008,22;497,78;4,1
18:32:29,17;3069,47;1008,9;497,16;4,1
18:32:31,60;3018,18;1010,28;499,69;4,07
18:32:38,86;3082,13;1009,93;495,67;4,12
18:32:43,71;3151,34;1015,16;496,43;4,1
18:32:46,12;3169,07;1017;500,69;4,1
18:32:48,54;3177,67;1016,92;500,34;4,1
18:32:50,97;3211,98;1017,52;506,12;4,07
18:32:53,39;3243,35;1016,96;504,4;4,12
18:32:55,80;3274,58;1019,06;507,01;4,12
18:32:58,22;3283,34;1018,8;503,71;4,12
18:33:00,65;3288,69;1021,06;501,06;4,12
